2025-01-31 19:04:07,917 - INFO - Starting embedding generation...
2025-01-31 19:04:07,950 - INFO - Found 3750 pages to process
2025-01-31 19:04:07,965 - WARNING - Skipping empty content for paper 007, page 25
2025-01-31 19:04:07,967 - WARNING - Skipping empty content for paper 007, page 26
2025-01-31 19:04:07,973 - WARNING - Skipping empty content for paper 007, page 27
2025-01-31 19:04:07,979 - WARNING - Skipping empty content for paper 014, page 7
2025-01-31 19:04:07,984 - WARNING - Skipping empty content for paper 015, page 14
2025-01-31 19:04:08,095 - WARNING - Skipping empty content for paper 007, page 25
2025-01-31 19:04:08,100 - WARNING - Skipping empty content for paper 007, page 26
2025-01-31 19:04:08,107 - WARNING - Skipping empty content for paper 007, page 27
2025-01-31 19:04:08,112 - WARNING - Skipping empty content for paper 014, page 7
2025-01-31 19:04:08,118 - WARNING - Skipping empty content for paper 015, page 14
2025-01-31 19:04:08,225 - WARNING - Skipping empty content for paper 007, page 25
2025-01-31 19:04:08,237 - WARNING - Skipping empty content for paper 007, page 26
2025-01-31 19:04:08,246 - WARNING - Skipping empty content for paper 007, page 27
2025-01-31 19:04:08,256 - WARNING - Skipping empty content for paper 014, page 7
2025-01-31 19:04:08,262 - WARNING - Skipping empty content for paper 015, page 14
2025-01-31 19:04:08,370 - WARNING - Skipping empty content for paper 007, page 25
2025-01-31 19:04:08,385 - WARNING - Skipping empty content for paper 007, page 26
2025-01-31 19:04:08,398 - WARNING - Skipping empty content for paper 007, page 27
2025-01-31 19:04:08,404 - WARNING - Skipping empty content for paper 014, page 7
2025-01-31 19:04:08,422 - WARNING - Skipping empty content for paper 015, page 14
2025-01-31 19:04:08,531 - WARNING - Skipping empty content for paper 007, page 25
2025-01-31 19:04:08,544 - WARNING - Skipping empty content for paper 007, page 26
2025-01-31 19:04:08,551 - WARNING - Skipping empty content for paper 007, page 27
2025-01-31 19:04:08,560 - WARNING - Skipping empty content for paper 014, page 7
2025-01-31 19:04:08,565 - WARNING - Skipping empty content for paper 015, page 14
2025-01-31 19:04:08,674 - WARNING - Skipping empty content for paper 007, page 25
2025-01-31 19:04:08,689 - WARNING - Skipping empty content for paper 007, page 26
2025-01-31 19:04:08,695 - WARNING - Skipping empty content for paper 007, page 27
2025-01-31 19:04:08,696 - WARNING - Skipping empty content for paper 014, page 7
2025-01-31 19:04:08,705 - WARNING - Skipping empty content for paper 015, page 14
2025-01-31 19:04:08,812 - WARNING - Skipping empty content for paper 007, page 25
2025-01-31 19:04:08,817 - WARNING - Skipping empty content for paper 007, page 26
2025-01-31 19:04:08,829 - WARNING - Skipping empty content for paper 007, page 27
2025-01-31 19:04:08,836 - WARNING - Skipping empty content for paper 014, page 7
2025-01-31 19:04:08,844 - WARNING - Skipping empty content for paper 015, page 14
2025-01-31 19:04:08,952 - WARNING - Skipping empty content for paper 007, page 25
2025-01-31 19:04:08,958 - WARNING - Skipping empty content for paper 007, page 26
2025-01-31 19:04:08,974 - WARNING - Skipping empty content for paper 007, page 27
2025-01-31 19:04:08,979 - WARNING - Skipping empty content for paper 014, page 7
2025-01-31 19:04:08,986 - WARNING - Skipping empty content for paper 015, page 14
2025-01-31 19:04:09,101 - WARNING - Skipping empty content for paper 007, page 25
